order_id,product,category,region,order_date,sales,cost
ORD1058,Pen,Furniture,East,2022-02-28,1989.65,1016.8040840634067
ORD1059,Pen,Office Supplies,South,2022-03-01,992.89,507.41316665027307
ORD1060,Pen,Office Supplies,West,2022-03-02,631.16,322.55224069432296
ORD1061,Laptop,Furniture,West,2022-03-03,1778.64,908.9681180501785
ORD1062,Monitor,Office Supplies,West,2022-03-04,1520.67,777.1333985940746
ORD1063,Phone,Office Supplies,North,2022-03-05,1910.84,976.52849294686
ORD1064,Chair,Furniture,North,2022-03-06,728.43,372.26175405438505
ORD1065,Pen,Furniture,South,2022-03-07,1150.25,587.8314767390915
ORD1066,Table,Office Supplies,South,2022-03-08,1187.36,606.7964201007848
ORD1067,Pen,Office Supplies,East,2022-03-09,1962.63,1002.9956019929957
ORD1068,Table,Office Supplies,East,2022-03-10,243.16,124.26611769952402
ORD1069,Phone,Technology,South,2022-03-11,680.82,347.9308202508223
ORD1070,Phone,Technology,North,2022-03-12,462.73,236.47664353964777
ORD1071,Phone,Technology,West,2022-03-13,610.1,311.78959700805893
ORD1072,Table,Furniture,South,2022-03-14,1022.03,522.3050677432329
ORD1073,Pen,Technology,East,2022-03-15,808.11,412.9819558075438
ORD1074,Phone,Furniture,North,2022-03-16,849.91,434.34370823327214
ORD1075,Laptop,Furniture,South,2022-03-17,1704.0,870.8235917091172
ORD1076,Table,Technology,South,2022-03-18,1867.03,954.1395366365451
ORD1077,Table,Technology,North,2022-03-19,233.79,119.47761003854137
ORD1078,Pen,Technology,South,2022-03-20,496.95,253.964661913055
ORD1079,Table,Office Supplies,North,2022-03-21,1375.17,702.7761024710251
ORD1080,Table,Technology,West,2022-03-22,781.43,399.3472296181076
ORD1081,Phone,Office Supplies,North,2022-03-23,582.91,297.8942369971605
ORD1082,Pen,Furniture,North,2022-03-24,661.05,337.82742681884497
ORD1083,Phone,Office Supplies,North,2022-03-25,712.85,364.29964633206816
ORD1084,Phone,Technology,South,2022-03-26,1712.47,875.1521573322252
ORD1085,Pen,Furniture,South,2022-03-27,359.58,183.76217553213868
ORD1086,Chair,Furniture,North,2022-03-28,1446.93,739.4488142908879
ORD1087,Phone,Furniture,South,2022-03-29,1150.36,587.887691877054
ORD1088,Laptop,Office Supplies,East,2022-03-30,663.37,339.0130551831438
ORD1089,Laptop,Technology,East,2022-03-31,897.58,458.70530483936
ORD1090,Table,Furniture,South,2022-04-01,586.79,299.87709822710843
ORD1091,Laptop,Furniture,South,2022-04-02,1261.88,644.8796208367962
ORD1092,Table,Furniture,North,2022-04-03,255.03,130.33224213238037
ORD1093,Chair,Office Supplies,West,2022-04-04,109.85,56.13848095613058
ORD1094,Pen,Office Supplies,South,2022-04-05,1293.0,660.78339441308
ORD1095,Pen,Technology,East,2022-04-06,469.12,239.74223200855695
ORD1096,Pen,Office Supplies,North,2022-04-07,234.79,119.98865674729085
ORD1097,Laptop,Furniture,South,2022-04-08,853.89,436.37767413409506
ORD1098,Chair,Technology,East,2022-04-09,196.46,100.40023640092322
ORD1099,Laptop,Furniture,East,2022-04-10,1784.57,911.9986250330628
